title,condition,transmission,make,model,year,location,price
Ford Ecosport 2014 Black,local used,automatic,Ford,Ecosport,2014,Lokogoma,"₦ 8,500,000"
Honda Accord EX 4dr Sedan (2.4L 4cyl 6M) 2014 White,local used,automatic,Honda,Accord,,Lokogoma,"₦ 11,500,000"
Toyota Camry 2008 Blue,local used,automatic,Toyota,Camry,2008,Port-Harcourt,"₦ 7,340,625"
Kia Sedona 2007 White,foreign used,automatic,Kia,Sedona,2007,Ikorodu,"₦ 5,500,000"
Honda Pilot 2004 Gray,local used,automatic,Honda,Pilot,2004,Karu,"₦ 4,860,000"
Honda Civic 2006 Blue,local used,automatic,Honda,Civic,2006,Gwarinpa,"₦ 4,536,000"
Honda Pilot 2005 Silver,local used,automatic,Honda,Pilot,2005,Isolo,"₦ 4,320,000"
BMW 535d 2010 Black,local used,automatic,BMW,535d,2010,Magodo,"₦ 6,600,000"
Toyota Highlander 2001 Black,local used,automatic,Toyota,Highlander,2001,Ibadan,"₦ 6,050,000"
Toyota Camry 1997 Black,local used,automatic,Toyota,Camry,1997,Ikotun/Igando,"₦ 2,750,000"
Honda Civic 2003 Blue,local used,automatic,Honda,Civic,2003,Alimosho,"₦ 2,916,000"
Honda Accord 2009 Gray,local used,automatic,Honda,Accord,2009,Lekki,"₦ 5,060,000"
Nissan Armada SE 2005 Silver,foreign used,automatic,Nissan,Armada,,Surulere,"₦ 8,500,000"
Mercedes-Benz E230 1995 Blue,local used,automatic,,,,Ilorin South,"₦ 2,200,000"
Toyota Camry SE V6 4dr Sedan (3.5L 6cyl 6AM) 2007 Silver,foreign used,automatic,Toyota,Camry,,Yaba,"₦ 16,453,125"
Mercedes-Benz M Class ML 350 4Matic 2013 Black,foreign used,automatic,,,,Central Business District,"₦ 25,500,000"
Mazda CX-7 2.3 2008,local used,automatic,Mazda,CX-7,,Nyanya,"₦ 6,700,000"
Toyota Highlander Hybrid Limited 2009 Silver,local used,automatic,Toyota,Highlander,,Onitsha,"₦ 9,000,000"
Toyota Venza LE FWD V6 2013 Gray,foreign used,automatic,Toyota,Venza,,Ikeja,"₦ 19,000,000"
Toyota Camry SE (2.5L 4cyl 8A) 2019 Red,foreign used,automatic,Toyota,Camry,,Ikeja,"₦ 25,000,000"
Land Rover Range Rover 5.0L Supercharged 2015 Black,local used,automatic,Land,Rover,,Gwarinpa,"₦ 25,000,000"
Lexus RX 2019 Black,foreign used,automatic,Lexus,RX,2019,Agege,"₦ 55,000,000"
Toyota Camry 2004 Gold,local used,automatic,Toyota,Camry,2004,Ipaja,"₦ 4,600,000"
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2014,foreign used,automatic,,,,Mabushi,"₦ 31,500,000"
Mercedes-Benz C300 Luxury 4Matic Sedan AWD (3.0L 6cyl 7A) 2010 Black,local used,automatic,,,,Port-Harcourt,"₦ 13,921,875"
Toyota Highlander 2007 Gold,local used,automatic,Toyota,Highlander,2007,Ikotun/Igando,"₦ 7,900,000"
Mercedes-Benz GLE-Class 2018 Black,foreign used,automatic,,,,Katampe,"₦ 45,000,000"
Toyota Camry 2005 Gray,local used,automatic,Toyota,Camry,2005,Ikotun/Igando,"₦ 4,500,000"
Toyota Prius HSD Hybrid 2005 Blue,local used,automatic,Toyota,Prius,,Asokoro,"₦ 3,700,000"
Honda Accord Crosstour EX-L AWD 2010 Red,local used,automatic,Honda,Accord,,Lokogoma,"₦ 9,500,000"
Toyota Sienna 2012 Gray,foreign used,automatic,Toyota,Sienna,2012,Katampe,"₦ 17,000,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Black,local used,automatic,Toyota,Camry,,Ikeja,"₦ 11,200,000"
Honda Accord 2014 Black,local used,automatic,Honda,Accord,2014,Ikeja,"₦ 10,000,000"
Kia Soul 2014 Black,foreign used,automatic,Kia,Soul,2014,Kubwa,"₦ 15,400,000"
Toyota Land Cruiser Prado 2.7 VVT-i 2015 Black,local used,automatic,Toyota,Land,,Central Business District,"₦ 34,000,000"
Honda Pilot EX-L AWD 2018 Black,foreign used,automatic,Honda,Pilot,,Central Business District,"₦ 29,000,000"
New Land Rover Defender 2025 Gray,new,automatic,New,Land,,Central Business District,"₦ 274,500,000"
Ford Mustang 2008 Red,foreign used,automatic,Ford,Mustang,2008,Agege,"₦ 11,500,000"
Mercedes-Benz M Class ML 550 4Matic 2013 White,local used,automatic,,,,Onitsha,"₦ 17,500,000"
Lexus RX 300 4WD 2002 Gold,local used,automatic,Lexus,RX,,Agege,"₦ 4,500,000"
Honda Accord 2002 Gray,local used,automatic,Honda,Accord,2002,Agege,"₦ 2,550,000"
Acura RDX Base AWD 2016 Black,foreign used,automatic,Acura,RDX,,Port-Harcourt,"₦ 38,000,000"
Toyota Corolla S 2004 Blue,local used,automatic,Toyota,Corolla,,Ikeja,"₦ 6,400,000"
Mazda CX-9 2008 Gray,foreign used,automatic,Mazda,CX-9,2008,Agege,"₦ 9,500,000"
Toyota Camry SE V6 4dr Sedan (3.5L 6cyl 6AM) 2007 Black,foreign used,automatic,Toyota,Camry,,Agege,"₦ 10,500,000"
Toyota Camry 2002 Green,foreign used,automatic,Toyota,Camry,2002,Agege,"₦ 6,500,000"
Mercedes-Benz GLE-Class AMG GLE 53 4MATIC 2023 White,foreign used,automatic,,,,Mabushi,"₦ 175,000,000"
Toyota Camry 2008 Red,local used,automatic,Toyota,Camry,2008,Ikeja,"₦ 7,800,000"
Toyota Corolla 1.8 2008 Gray,local used,automatic,Toyota,Corolla,,Lokogoma,"₦ 8,500,000"
Mitsubishi Pajero 3.0 2010 Brown,local used,automatic,Mitsubishi,Pajero,,Lokogoma,"₦ 10,500,000"
Honda Accord Coupe 2001 Silver,local used,automatic,Honda,Accord,,Ikeja,"₦ 2,700,000"
Honda Civic 1.4 2006 Blue,local used,manual,Honda,Civic,,Ikorodu,"₦ 3,850,000"
BMW 335i 2008 Silver,local used,automatic,BMW,335i,2008,Jabi,"₦ 6,050,000"
Mazda B-series 2000 Black,local used,manual,Mazda,B-series,2000,Ibadan,"₦ 7,700,000"
Mazda 3 2.Sport 2010 Gray,local used,automatic,Mazda,3,,Kaduna / Kaduna State,"₦ 6,600,000"
Mercedes-Benz C180 2001 Black,local used,manual,,,,Benin City,"₦ 3,300,000"
Toyota Camry 2011 Silver,foreign used,automatic,Toyota,Camry,2011,Port-Harcourt,"₦ 8,500,000"
Toyota Camry 2009 Gold,foreign used,automatic,Toyota,Camry,2009,Port-Harcourt,"₦ 7,600,000"
Toyota Corolla 2011 Black,foreign used,automatic,Toyota,Corolla,2011,Port-Harcourt,"₦ 9,800,000"
Changan Eado 1.6 Sedan 2016 Black,local used,manual,Changan,Eado,,Surulere,"₦ 4,500,000"
Toyota Highlander XLE 4x4 V6 (3.5L 6cyl 8A) 2018 Black,foreign used,automatic,Toyota,Highlander,,Central Business District,"₦ 31,000,000"
Lexus GX 460 Luxury 2015 Black,foreign used,automatic,Lexus,GX,,Central Business District,"₦ 36,500,000"
Kia Picanto 2014 Black,foreign used,automatic,Kia,Picanto,2014,Central Business District,"₦ 9,000,000"
Toyota Land Cruiser Prado 2012 Gray,foreign used,automatic,Toyota,Land,,Agege,"₦ 52,000,000"
Toyota Avalon Limited 4dr Sedan (3.5L 6cyl 6A) 2015 Black,foreign used,automatic,Toyota,Avalon,,Mabushi,"₦ 18,999,999"
Toyota Camry XLE V6 4dr Sedan (3.5L 6cyl 6A) 2013 Black,local used,automatic,Toyota,Camry,,Surulere,"₦ 12,000,000"
Toyota 4-Runner 2002 Green,local used,automatic,Toyota,4-Runner,2002,Ogba,"₦ 4,100,000"
Toyota Sienna 2005 Black,local used,automatic,Toyota,Sienna,2005,Agege,"₦ 6,000,000"
Mercedes-Benz GLE-Class GLE 450 4MATIC 2020 Gray,foreign used,automatic,,,,Mabushi,"₦ 109,000,000"
Toyota Camry 2005 Gray,local used,automatic,Toyota,Camry,2005,Agege,"₦ 5,200,000"
Hyundai Genesis 3.8 4dr Sedan (3.8L 6cyl 8A) 2015 Gray,foreign used,automatic,Hyundai,Genesis,,Mabushi,"₦ 26,200,000"
Ford Edge 2007 Gray,local used,automatic,Ford,Edge,2007,Ikeja,"₦ 6,500,000"
Lexus ES 350 2008 Black,local used,automatic,Lexus,ES,,Ife,"₦ 8,000,000"
Hyundai Sonata Limited Sedan FWD (2.4L 4cyl 6A) 2012 Gray,local used,automatic,Hyundai,Sonata,,Lokogoma,"₦ 10,200,000"
GAC GA6 2024 Brown,foreign used,automatic,GAC,GA6,2024,Lokogoma,"₦ 210,000,000"
Ford F-150 FX2 2010 White,foreign used,automatic,Ford,F-150,,Lokogoma,"₦ 12,000,000"
Toyota Land Cruiser Prado 2.4 Petrol 2024 Black,foreign used,automatic,Toyota,Land,,Lokogoma,"₦ 85,000,000"
Mercedes-Benz C240 2.6 RWD 2005 Pink,local used,automatic,,,,Ikotun/Igando,"₦ 3,700,000"
Hyundai Sonata 2012 Gold,foreign used,automatic,Hyundai,Sonata,2012,Ikeja,"₦ 10,500,000"
Hyundai Elantra 2011 Silver,foreign used,automatic,Hyundai,Elantra,2011,Ikeja,"₦ 12,000,000"
Honda Accord 2007 Silver,local used,automatic,Honda,Accord,2007,Ikeja,"₦ 3,520,000"
Honda Accord 2007 Silver,local used,automatic,Honda,Accord,2007,Asokoro,"₦ 4,860,000"
Honda Odyssey 2007 Black,local used,automatic,Honda,Odyssey,2007,Gwarinpa,"₦ 6,050,000"
Mazda CX-9 2008 White,local used,automatic,Mazda,CX-9,2008,Ikeja,"₦ 5,913,600"
Land Rover Range Rover Sport 2007 Black,local used,automatic,Land,Rover,,Ogudu,"₦ 16,200,000"
Toyota RAV4 2009 Blue,foreign used,automatic,Toyota,RAV4,2009,Port-Harcourt,"₦ 12,500,000"
Rover 3500 2022 Black,foreign used,automatic,Rover,3500,2022,Central Business District,"₦ 60,000,000"
Hyundai Elantra SE 4dr Sedan (1.8L 4cyl 6M) 2014 Black,local used,automatic,Hyundai,Elantra,,Surulere,"₦ 7,500,000"
Toyota Camry L 4dr Sedan (2.5L 4cyl 6A) 2012 Red,foreign used,automatic,Toyota,Camry,,Surulere,"₦ 14,500,000"
Toyota Avalon 2002 Gold,local used,automatic,Toyota,Avalon,2002,Ilorin South,"₦ 3,900,000"
Mazda 323 1998 Blue,local used,manual,Mazda,323,1998,Ilorin South,"₦ 2,500,000"
Honda Civic 2006 Silver,local used,automatic,Honda,Civic,2006,Ilorin South,"₦ 4,000,000"
Toyota Tundra Automatic 2003 Gray,local used,automatic,Toyota,Tundra,,Ilorin South,"₦ 5,500,000"
Mercedes-Benz GLE-Class AMG GLE 53 4MATIC 2020 Black,foreign used,automatic,,,,Amuwo-Odofin,"₦ 136,800,000"
Toyota Sienna LE 2003 Gold,local used,automatic,Toyota,Sienna,,Nyanya,"₦ 3,500,000"
Volkswagen Sharan 1.8 Turbo 2009 Green,local used,manual,Volkswagen,Sharan,,Nyanya,"₦ 2,500,000"
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2016 Blue,foreign used,automatic,,,,Lekki,"₦ 34,500,000"
Mercedes-Benz GLE-Class 2016 Black,foreign used,automatic,,,,Lekki,"₦ 72,000,000"
Mercedes-Benz GLE-Class GLE 450 4MATIC 2020 Gray,foreign used,automatic,,,,Lekki,"₦ 110,500,000"
Toyota Corolla 2013 Red,foreign used,automatic,Toyota,Corolla,2013,Agege,"₦ 12,800,000"
Toyota Highlander 4x4 2008 Black,local used,automatic,Toyota,Highlander,,Port-Harcourt,"₦ 11,500,000"
Mercedes-Benz GLC-Class 2016 White,local used,automatic,,,,Mabushi,"₦ 28,500,000"
Honda Accord EX-L 4dr Sedan w/Navigation (2.4L 4cyl CVT) 2014 Black,local used,automatic,Honda,Accord,,Ogba,"₦ 10,150,000"
Toyota Land Cruiser 2017 Black,foreign used,automatic,Toyota,Land,,Asokoro,"₦ 78,000,000"
Lexus ES 350 2008 Brown,local used,automatic,Lexus,ES,,Surulere,"₦ 9,000,000"
Hyundai Sonata 2016 Black,foreign used,automatic,Hyundai,Sonata,2016,Surulere,"₦ 14,000,000"
Subaru Tribeca 2006 Black,local used,automatic,Subaru,Tribeca,2006,Agege,"₦ 7,300,000"
Volkswagen Golf 2010 Black,local used,automatic,Volkswagen,Golf,2010,Yaba,"₦ 2,850,000"
Mercedes-Benz GLE-Class GLE 350 2017 Black,foreign used,automatic,,,,Mabushi,"₦ 41,000,000"
Hyundai Sonata 2013 Blue,local used,automatic,Hyundai,Sonata,2013,Ikeja,"₦ 9,500,000"
Toyota Camry 2016 Gold,foreign used,automatic,Toyota,Camry,2016,Surulere,"₦ 17,500,000"
Toyota RAV4 Limited AWD (2.5L 4cyl 6A) 2017 Black,foreign used,automatic,Toyota,RAV4,,Surulere,"₦ 32,000,000"
Toyota Highlander Limited V6 FWD 2004 Brown,local used,automatic,Toyota,Highlander,,Lokogoma,"₦ 5,500,000"
Lexus RX 330 2006 Blue,foreign used,automatic,Lexus,RX,,Ikeja,"₦ 13,850,000"
Toyota RAV4 Limited V6 2008 Silver,local used,automatic,Toyota,RAV4,,Ikeja,"₦ 7,850,000"
Toyota Venza V6 2010 Black,local used,automatic,Toyota,Venza,,Abule Egba,"₦ 9,550,000"
Lexus RX 330 2004 Silver,local used,automatic,Lexus,RX,,Ilorin South,"₦ 7,500,000"
Toyota Camry 2011 Gray,local used,automatic,Toyota,Camry,2011,Ilorin South,"₦ 7,700,000"
Mercedes-Benz CLA-Class CLA 250 4MATIC Sedan 2014 White,foreign used,automatic,,,,Lekki,"₦ 17,500,000"
Toyota Avalon XLE FWD Sedan (3.5L V6 8A) 2019 Black,foreign used,automatic,Toyota,Avalon,,Central Business District,"₦ 48,000,000"
Toyota Highlander XLE 4x2 V6 (3.5L 6cyl 8A) 2018 Silver,local used,automatic,Toyota,Highlander,,Central Business District,"₦ 25,500,000"
Lexus ES 350 2009 Black,foreign used,automatic,Lexus,ES,,Abule Egba,"₦ 11,950,000"
Mercedes-Benz M Class ML 350 BlueTEC 4Matic 2012 White,local used,automatic,,,,Agege,"₦ 21,000,000"
Toyota Matrix XR Hatchback AWD (1.8L 4cyl 4A) 2004 Blue,local used,automatic,Toyota,Matrix,,Agege,"₦ 5,300,000"
Nissan Pathfinder SE 2004 Gold,local used,automatic,Nissan,Pathfinder,,Agege,"₦ 4,500,000"
Toyota Camry XLE 4dr Sedan (2.4 4cyl 5A) 2008 Gray,local used,automatic,Toyota,Camry,,Ogba,"₦ 7,500,000"
Mercedes-Benz GLE-Class GLE 580 4MATIC 2021 Black,foreign used,automatic,,,,Mabushi,"₦ 140,000,000"
Honda Accord EX-L V-6 4dr Sedan FWD (3.5L 6cyl 6A) 2013 Black,local used,automatic,Honda,Accord,,Mabushi,"₦ 10,600,000"
Lexus LX 470 AWD 2000 Silver,local used,automatic,Lexus,LX,,Lokogoma,"₦ 7,000,000"
Toyota Camry 2015 Gray,local used,automatic,Toyota,Camry,2015,Lokogoma,"₦ 14,500,000"
Lexus ES 350 2009 Blue,local used,automatic,Lexus,ES,,Ajah,"₦ 8,200,000"
Honda CR-V 2006 Blue,local used,automatic,Honda,CR-V,2006,Yaba,"₦ 3,350,000"
Hyundai Genesis 3.8 4dr Sedan (3.8L 6cyl 8A) 2015 Black,foreign used,automatic,Hyundai,Genesis,,Mabushi,"₦ 26,500,000"
Lexus RX 300 2001 White,foreign used,automatic,Lexus,RX,,Agege,"₦ 7,600,000"
Mercedes-Benz GLE-Class GLE 450 4MATIC 2021 Black,foreign used,automatic,,,,Mabushi,"₦ 112,000,000"
Honda Accord 2007 White,foreign used,automatic,Honda,Accord,2007,Amuwo-Odofin,"₦ 5,800,000"
Lexus ES 2012 Gray,local used,automatic,Lexus,ES,2012,Ifo,"₦ 12,500,000"
Hyundai Sonata Sport 4dr Sedan (2.4L 4cyl 6A) 2015 Black,foreign used,automatic,Hyundai,Sonata,,Asokoro,"₦ 15,500,000"
Toyota RAV4 1.8 2005 Gold,local used,automatic,Toyota,RAV4,,Lokogoma,"₦ 4,700,000"
Toyota Highlander Limited 2012 Black,local used,automatic,Toyota,Highlander,,Lokogoma,"₦ 13,500,000"
Lexus ES 350 2009 Black,local used,automatic,Lexus,ES,,Lokogoma,"₦ 9,200,000"
Toyota Corolla 2003 Gold,local used,automatic,Toyota,Corolla,2003,Abule Egba,"₦ 4,809,375"
Toyota Corolla 2012 Gray,foreign used,automatic,Toyota,Corolla,2012,Gbagada,"₦ 13,200,000"
Mercedes-Benz E350 Base 4dr Sedan RWD (3.5L 6cyl 7A) 2006 Black,local used,automatic,,,,Surulere,"₦ 4,500,000"
Toyota Camry 2013 Silver,local used,automatic,Toyota,Camry,2013,Ilorin South,"₦ 13,800,000"
Lexus LX 470 AWD 2001 Blue,local used,automatic,Lexus,LX,,Ilorin South,"₦ 3,900,000"
Toyota Avensis 2003 Silver,local used,automatic,Toyota,Avensis,2003,Ilorin South,"₦ 3,400,000"
BMW X3 2005 Silver,local used,automatic,BMW,X3,2005,Ilorin South,"₦ 3,800,000"
Toyota Camry 2013 Red,foreign used,automatic,Toyota,Camry,2013,Central Business District,"₦ 15,700,000"
Toyota 4-Runner Limited 4WD 2011 Black,foreign used,automatic,Toyota,4-Runner,,Central Business District,"₦ 22,000,000"
Honda CR-V Touring AWD 2018 White,foreign used,automatic,Honda,CR-V,,Ikoyi,"₦ 33,500,000"
Ford Fusion SE FWD 2018 White,foreign used,automatic,Ford,Fusion,,Agege,"₦ 17,500,000"
Mini Cooper 2015 Red,local used,automatic,Mini,Cooper,2015,Mabushi,"₦ 12,900,000"
Mercedes-Benz E300 2018 Black,foreign used,automatic,,,,Mabushi,"₦ 44,000,000"
Honda Accord Sedan EX-L V-6 2010 Silver,foreign used,automatic,Honda,Accord,,Abule Egba,"₦ 11,000,000"
Lexus ES 350 2009 Black,local used,automatic,Lexus,ES,,Gudu,"₦ 9,000,000"
Lexus RX 350 2008 Pearl,foreign used,automatic,Lexus,RX,,Gwarinpa,"₦ 12,900,000"
Toyota Corolla 2010 White,local used,automatic,Toyota,Corolla,2010,Lokogoma,"₦ 8,000,000"
Mercedes-Benz GLK-Class 2014 Black,foreign used,automatic,,,,Owerri,"₦ 25,500,000"
Honda Pilot EX 4x4 (3.5L 6cyl 5A) 2006 Black,foreign used,automatic,Honda,Pilot,,Ogba,"₦ 8,500,000"
Lexus RX 350 FWD 2018 Silver,foreign used,automatic,Lexus,RX,,Magodo,"₦ 49,000,000"
Toyota RAV4 2010 Silver,foreign used,automatic,Toyota,RAV4,2010,Ife,"₦ 14,000,000"
Toyota Corolla LE 2006 Red,local used,automatic,Toyota,Corolla,,Surulere,"₦ 4,999,999"
BMW X3 2.0i 2008 White,foreign used,automatic,BMW,X3,,Lokogoma,"₦ 9,500,000"
Kia Soul Automatic 2012 Silver,local used,automatic,Kia,Soul,,Lokogoma,"₦ 7,500,000"
Hyundai Sonata 2021 Black,foreign used,automatic,Hyundai,Sonata,2021,Gbagada,"₦ 39,000,000"
Honda CR-V 2008 Red,local used,automatic,Honda,CR-V,2008,Ikeja,"₦ 6,500,000"
Toyota Corolla 2016 Black,foreign used,automatic,Toyota,Corolla,2016,Port-Harcourt,"₦ 14,800,000"
Honda Civic DX 2dr Coupe (1.7L 4cyl 4A) 2001 Black,local used,automatic,Honda,Civic,,Central Business District,"₦ 2,000,000"
Hyundai Sonata Sport 2.0T 4dr Sedan (2.0L 4cyl Turbo 6A) 2015 Black,foreign used,automatic,Hyundai,Sonata,,Lekki,"₦ 17,800,000"
Mercedes-Benz E350 Base 4Matic Sedan AWD (3.5L 6cyl 7A) 2014 Blue,foreign used,automatic,,,,Lekki,"₦ 25,600,000"
Toyota Corolla S 4dr Sedan (1.8L 4cyl 4A) 2013 White,foreign used,automatic,Toyota,Corolla,,Gaduwa,"₦ 12,000,000"
Toyota Tacoma 2008 Brown,local used,automatic,Toyota,Tacoma,2008,Lokogoma,"₦ 14,500,000"
Lexus ES 350 2010 Black,local used,automatic,Lexus,ES,,Owerri,"₦ 10,500,000"
Mercedes-Benz GLA 250 2018 Black,foreign used,automatic,,,,Gwarinpa,"₦ 34,000,000"
Hyundai Sonata SE 2.0T Sedan FWD (2.0L 4cyl 6A) 2012 Silver,foreign used,automatic,Hyundai,Sonata,,Gwarinpa,"₦ 13,200,000"
Lexus RX 350 2010 Black,local used,automatic,Lexus,RX,,Ajah,"₦ 17,000,000"
Lexus RX 330 AWD 2006 Blue,local used,automatic,Lexus,RX,,Ajah,"₦ 8,500,000"
Honda Pilot 2003 Silver,local used,automatic,Honda,Pilot,2003,Agege,"₦ 4,200,000"
Hyundai Sonata 2011 White,foreign used,automatic,Hyundai,Sonata,2011,Agege,"₦ 12,950,000"
Mazda 121 1999 White,foreign used,manual,Mazda,121,1999,Agege,"₦ 13,500,000"
Ford Transit 2007 Yellow,local used,manual,Ford,Transit,2007,Agege,"₦ 5,200,000"
Kia Soul 2015 Gray,foreign used,automatic,Kia,Soul,2015,Ikeja,"₦ 13,850,000"
Toyota Highlander 2006 Green,local used,automatic,Toyota,Highlander,2006,Ikotun/Igando,"₦ 7,900,000"
Hyundai Sonata GLS PZEV 4dr Sedan (2.4L 4cyl 6A) 2014 Red,local used,automatic,Hyundai,Sonata,,Asokoro,"₦ 9,000,000"
Toyota Corolla LE 2004 Silver,local used,automatic,Toyota,Corolla,,Asokoro,"₦ 3,600,000"
Toyota Paseo 1.5 Coupe 93hp 1996 Black,local used,automatic,Toyota,Paseo,,Zaria,"₦ 1,900,000"
Toyota Corolla Liftback 2004 Gray,local used,automatic,Toyota,Corolla,,Zaria,"₦ 5,500,000"
Toyota Camry SE 4dr Sedan (2.4L 4cyl 5A) 2008 Silver,local used,automatic,Toyota,Camry,,Ikeja,"₦ 8,200,000"
Toyota RAV4 Limited AWD 2020 Silver,local used,automatic,Toyota,RAV4,,Ikeja,"₦ 35,000,000"
Peugeot 206 1.6 CC Coupe Cabriolet 2006 Silver,local used,manual,Peugeot,206,,Nyanya,"₦ 2,600,000"
Hyundai Sonata 2020 Black,foreign used,automatic,Hyundai,Sonata,2020,Lekki,"₦ 38,500,000"
Toyota Camry XLE V6 4dr Sedan (3.6L 6cyl 6A) 2016 White,foreign used,automatic,Toyota,Camry,,Lekki,"₦ 20,500,000"
Toyota Highlander Hybrid Limited 2009 Blue,local used,automatic,Toyota,Highlander,,Onitsha,"₦ 8,500,000"
Toyota Camry XLE V6 4dr Sedan (3.5L 6cyl 6AM) 2007 Gray,local used,automatic,Toyota,Camry,,Agege,"₦ 7,800,000"
Land Rover Range Rover Evoque 2013 Black,local used,automatic,Land,Rover,,Mabushi,"₦ 15,000,000"
Toyota Corolla LE 2021 Red,foreign used,automatic,Toyota,Corolla,,Gwarinpa,"₦ 26,000,000"
Toyota HiAce SV Premium 2013 White,local used,automatic,Toyota,HiAce,,Lokogoma,"₦ 13,500,000"
Honda Accord 2002 Silver,local used,automatic,Honda,Accord,2002,Lokogoma,"₦ 2,200,000"
Toyota Corolla 2012 Red,local used,automatic,Toyota,Corolla,2012,Lokogoma,"₦ 8,000,000"
Chevrolet Express 2004 White,local used,automatic,Chevrolet,Express,2004,Lokogoma,"₦ 9,500,000"
Toyota Highlander V6 2006 Blue,foreign used,automatic,Toyota,Highlander,,Agege,"₦ 10,800,000"
Toyota Corolla Base 4dr Sedan (1.8L 4cyl 5M) 2009 Red,foreign used,automatic,Toyota,Corolla,,Ajah,"₦ 11,850,000"
Lexus ES 330 2006 Brown,foreign used,automatic,Lexus,ES,,Ikeja,"₦ 10,500,000"
Dodge Caravan 2011 Silver,foreign used,automatic,Dodge,Caravan,2011,Ikeja,"₦ 14,000,000"
Toyota Tacoma PreRunner Access 2007 Silver,foreign used,automatic,Toyota,Tacoma,,Surulere,"₦ 20,000,000"
Toyota Camry 2011 Black,local used,automatic,Toyota,Camry,2011,Surulere,"₦ 7,800,000"
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2014,foreign used,automatic,,,,Surulere,"₦ 28,999,999"
Peugeot 206 1.4 75 Petit Filou 2008 Red,local used,manual,Peugeot,206,,Asokoro,"₦ 2,700,000"
Mercedes-Benz A-Class 2003 Gray,local used,automatic,,,,Lokogoma,"₦ 3,750,000"
Ford Focus 2013 Blue,foreign used,automatic,Ford,Focus,2013,Lokogoma,"₦ 14,500,000"
Toyota Corolla LE 2006 Silver,local used,automatic,Toyota,Corolla,,Zaria,"₦ 7,300,000"
Lexus RX 330 2005 Silver,local used,automatic,Lexus,RX,,Ikeja,"₦ 9,800,000"
BMW 535i 2013 Blue,foreign used,automatic,BMW,535i,2013,Ikeja,"₦ 23,500,000"
Mercedes-Benz GLE-Class GLE 350 2020 Black,foreign used,automatic,,,,Ikeja,"₦ 83,000,000"
Honda Civic 2015 Gray,foreign used,automatic,Honda,Civic,2015,Mabushi,"₦ 15,800,000"
New Toyota Land Cruiser Prado 2.4 Petrol 2025 Black,new,automatic,New,Toyota,,Asokoro,"₦ 120,000,000"
Chevrolet Camaro 2010 Blue,foreign used,automatic,Chevrolet,Camaro,2010,Lokogoma,"₦ 16,500,000"
Lexus RX 2008,local used,automatic,Lexus,RX,2008,Owerri,"₦ 10,500,000"
Acura MDX 2009 Black,local used,automatic,Acura,MDX,2009,Port-Harcourt,"₦ 4,950,000"
Toyota Venza 2012 Black,local used,automatic,Toyota,Venza,2012,Port-Harcourt,"₦ 11,500,000"
Lexus ES 350 2008 Red,local used,automatic,Lexus,ES,,Port-Harcourt,"₦ 8,800,000"
Chevrolet Sonic LT 2014 Black,local used,automatic,Chevrolet,Sonic,,Surulere,"₦ 5,000,000"
Toyota Highlander Limited 4dr SUV AWD (3.5L 6cyl 6A) 2015 White,foreign used,automatic,Toyota,Highlander,,Agege,"₦ 35,000,000"
Lexus ES 350 2008 White,local used,automatic,Lexus,ES,,Ikeja,"₦ 9,200,000"
Honda Accord 2017 Black,foreign used,automatic,Honda,Accord,2017,Surulere,"₦ 20,500,000"
Honda Accord 2009 Gold,local used,automatic,Honda,Accord,2009,Central Business District,"₦ 5,300,000"
Honda CR-V 2008 Silver,local used,automatic,Honda,CR-V,2008,Yaba,"₦ 5,300,000"
Toyota Solara 2009 Black,foreign used,automatic,Toyota,Solara,2009,Yaba,"₦ 6,800,000"
Lexus RX 350 2010 Blue,foreign used,automatic,Lexus,RX,,Ajah,"₦ 22,500,000"
Lexus RX 350 2010 Black,local used,automatic,Lexus,RX,,Lokogoma,"₦ 14,500,000"
Peugeot 308 2010 Black,local used,automatic,Peugeot,308,2010,Lokogoma,"₦ 3,800,000"
Toyota Highlander Limited 3.5L 2WD 2013 Gray,local used,automatic,Toyota,Highlander,,Lokogoma,"₦ 16,500,000"
Opel Zafira 2002 Black,local used,manual,Opel,Zafira,2002,Zaria,"₦ 2,800,000"
Peugeot 206 SW 2004 Blue,local used,manual,Peugeot,206,,Zaria,"₦ 2,600,000"
Toyota Estima 2008 White,local used,automatic,Toyota,Estima,2008,Ikeja,"₦ 9,000,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2009 Green,foreign used,automatic,Toyota,Camry,,Ikeja,"₦ 10,500,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2012 Black,local used,automatic,Toyota,Camry,,Ikeja,"₦ 10,500,000"
Toyota Highlander 2012 Gold,foreign used,automatic,Toyota,Highlander,2012,Port-Harcourt,"₦ 14,500,000"
New Toyota Land Cruiser 2024 Gray,new,automatic,New,Toyota,,Lekki,"₦ 199,000,000"
New Toyota Land Cruiser 2023 Gray,new,automatic,New,Toyota,,Lekki,"₦ 165,000,000"
